titulo,Tipo,precio,precio_original,descuento,ventas,link,ranking,plataforma,fecha_scraping,moneda,proveedor
Classic Modern Wrinkle-Resistant Striped Shirt OEM Men Long Sleeve Dress Shirt for Man,Camisa,4.5,7.03125,36,859,https://www.alibaba.com/product-detail/Classic-Modern-Wrinkle-Resistant-Striped-Shirt_1601397238043.html,3,Alibaba,10/13/2025,$,Guangzhou Qiyang Clothing Co.
Hot Sell Mens Long Sleeve Cotton T Shirts New Design Mens Golf Polo Shirts High Quality Embroidered T Shirt Men's Polo,Camisa,12.8,20.98360656,39,854,https://www.alibaba.com/product-detail/Hot-Sell-Mens-Long-Sleeve-Cotton_1601577886507.html?s=p,1,Alibaba,10/13/2025,$,Ningbo Better Field Imp And Exp Co.
Men's Long-Sleeved Vintage Casual Dress Shirts Autumn Collar Single Breasted Breathable Size XL Professional Business Style,Camisa,10.6,13.41772152,21,170,https://www.alibaba.com/product-detail/Men-s-Long-Sleeved-Vintage-Casual_1601405119624.html,3,Alibaba,10/13/2025,$,Dongguan Shuyao Apparel Co.
Men's Casual Office Long Sleeve Plaid Printed Single-Breasted Shirt Polyester Cotton Chest Pocket For Autumn OEM Service,Camisa,18.18,22.17073171,18,908,https://www.alibaba.com/product-detail/Men-s-Casual-Office-Long-Sleeve_1601577064518.html?s=p,3,Alibaba,10/13/2025,$,Xiamen Feeling Textile And Garment Co.
High Quality Summer Men's Simple Solid Short Sleeve Breathable Stretch Casual Button Down Men's Dress Shirt,Camisa,5.9,7.866666667,25,228,https://www.alibaba.com/product-detail/High-Quality-Summer-Men-s-Simple_1601448471850.html,3,Alibaba,10/13/2025,$,Yiwu Saichen Import And Export Co.
Oversized Men's Hawaiian Style Creative Pattern Printed Casual shirt,Camisa,10.5,12.20930233,14,305,https://www.alibaba.com/product-detail/Oversized-Men-s-Hawaiian-Style-Creative_1601525742011.html?s=p,4,Alibaba,10/13/2025,$,Zhejiang Leo&Jerry International Trading Co.
Factory Direct Men's Breathable Long Sleeve Dress Shirt-Casual Wear Top Selling,Camisa,6.5,10.31746032,37,301,https://www.alibaba.com/product-detail/-Factory-Direct-Men-s-Breathable_10000030805713.html,2,Alibaba,10/13/2025,$,C mount
America Style Shirt Fashion Men Half Button Full Placket Drill Farmer Workshirts,Camisa,6,6.666666667,10,101,https://www.alibaba.com/product-detail/America-Style-Shirt-Fashion-Men-Half_1600629060578.html?s=p,1,Alibaba,10/13/2025,$,Shanghai Zhengxing Clothing Co.
2022 White 100% Cotton Dress Shirts Button up Shirt Men's Shirts for Men Long Sleeves,Camisa,24.55,38.96825397,37,792,https://www.alibaba.com/product-detail/2022-White-100-Cotton-Dress-Shirts_1600623132060.html,5,Alibaba,10/13/2025,$,Shandong Aoshi Garments Co.
New Arrival Premium Quality Printing Breathable Cotton Personalized Polo Shirt With Logo,Camisa,9,12.85714286,30,433,https://www.alibaba.com/product-detail/New-Arrival-Premium-Quality-Printing-Breathable_1601571650971.html?s=p,2,Alibaba,10/13/2025,$,Shaoxing Tianyun Industrial Co.
Latest arrival hot selling mens dress shirt made with premium quality fabric featuring best customization options anti-pilling,Camisa,7,8.860759494,21,492,https://www.alibaba.com/product-detail/Latest-arrival-hot-selling-mens-dress_11000026193438.html,2,Alibaba,10/13/2025,$,OUTER LOOK INDUSTRIES
FR Shirts Lightweight Welding Shirts Flame Resistant Men's Fire Retardant Shirt,Camisa,9,12.16216216,26,420,https://www.alibaba.com/product-detail/FR-Shirts-Lightweight-Welding-Shirts-Flame_1600984378735.html?s=p,2,Alibaba,10/13/2025,$,Shanghai Zhengxing Clothing Co.
Hot Sale Men's Floral Pattern Short Sleeve Dress Shirts Factory Direct Slim Fit Button Down XL Size Casual Business Style,Camisa,4.6,7.419354839,38,478,https://www.alibaba.com/product-detail/Hot-Sale-Men-s-Floral-Pattern_1600768313018.html,4,Alibaba,10/13/2025,$,Bengbu Red Hat E-Commerce Co.
